header
0,Abilene Christian
1,Air Force
2,Akron
3,Alabama
4,Alabama A&M
5,Alabama-Birmingham
6,Alcorn State
7,Appalachian State
8,Arizona
9,Arizona State
10,Arkansas
11,Arkansas State
12,Arkansas-Pine Bluff
13,Army
14,Auburn
15,Austin Peay
16,Ball State
17,Baylor
18,Bethune-Cookman
19,Boise State
20,Boston College
21,Bowling Green State
22,Brigham Young
23,Buffalo
24,Cal Poly
25,California
26,California-Davis
27,Campbell
28,Central Arkansas
29,Central Florida
30,Central Michigan
31,Charleston Southern
32,Chattanooga
33,Cincinnati
34,Citadel
35,Clemson
36,Colgate
37,Colorado
38,Colorado State
39,Connecticut
40,Delaware
41,Delaware State
42,Duke
43,Duquesne
44,East Carolina
45,Eastern Illinois
46,Eastern Kentucky
47,Eastern Michigan
48,Eastern Washington
49,Elon
50,Florida
51,Florida A&M
52,Florida Atlantic
53,Florida International
54,Florida State
55,Fordham
56,Fresno State
57,Furman
58,Gardner-Webb
59,Georgia
60,Georgia Southern
61,Georgia State
62,Georgia Tech
63,Grambling State
64,Hampton
65,Hawaii
66,Houston
67,Howard
68,Idaho
69,Idaho State
70,Illinois
71,Indiana
72,Indiana State
73,Iowa
74,Iowa State
75,Jacksonville State
76,James Madison
77,Kansas
78,Kansas State
79,Kent State
80,Kentucky
81,Lamar
82,Liberty
83,Louisiana State
84,Louisiana Tech
85,Louisiana-Lafayette
86,Louisiana-Monroe
87,Louisville
88,Maine
89,Marshall
90,Maryland
91,Massachusetts
92,McNeese State
93,Memphis
94,Miami (FL)
95,Miami (OH)
96,Michigan
97,Michigan State
98,Middle Tennessee State
99,Minnesota
100,Mississippi
101,Mississippi State
102,Missouri
103,Missouri State
104,Montana
105,Montana State
106,Morgan State
107,Murray State
108,Navy
109,Nebraska
110,Nevada
111,Nevada-Las Vegas
112,New Hampshire
113,New Mexico
114,New Mexico State
115,Nicholls State
116,Norfolk State
117,North Carolina
118,North Carolina Central
119,North Carolina State
120,North Dakota
121,North Dakota State
122,North Texas
123,Northern Arizona
124,Northern Colorado
125,Northern Illinois
126,Northern Iowa
127,Northwestern
128,Northwestern State
129,Notre Dame
130,Ohio
131,Ohio State
132,Oklahoma
133,Oklahoma State
134,Old Dominion
135,Oregon
136,Oregon State
137,Penn State
138,Pittsburgh
139,Portland State
140,Presbyterian
141,Purdue
142,Rhode Island
143,Rice
144,Richmond
145,Rutgers
146,Sacramento State
147,Sam Houston State
148,Samford
149,San Diego State
150,San Jose State
151,Savannah State
152,South Alabama
153,South Carolina
154,South Carolina State
155,South Dakota
156,South Dakota State
157,South Florida
158,Southeast Missouri State
159,Southeastern Louisiana
160,Southern
161,Southern California
162,Southern Illinois
163,Southern Methodist
164,Southern Mississippi
165,Southern Utah
166,Stanford
167,Stephen F. Austin
168,Stony Brook
169,Syracuse
170,Temple
171,Tennessee
172,Tennessee-Martin
173,Texas
174,Texas A&M
175,Texas Christian
176,Texas State
177,Texas Tech
178,Texas-El Paso
179,Texas-San Antonio
180,Toledo
181,Towson
182,Troy
183,Tulane
184,Tulsa
185,UCLA
186,Utah
187,Utah State
188,Vanderbilt
189,Villanova
190,Virginia
191,Virginia Military Institute
192,Virginia Tech
193,Wagner
194,Wake Forest
195,Washington
196,Washington State
197,Weber State
198,West Virginia
199,Western Carolina
200,Western Illinois
201,Western Kentucky
202,Western Michigan
203,William & Mary
204,Wisconsin
205,Wofford
206,Wyoming
207,Yale
208,Youngstown State
209,Jackson State
210,Prairie View A&M
211,Tennessee Tech
212,Alabama State
213,Coastal Carolina
